time,thermofilter_temp_c
1692625546639, 102.25
1692625546739, 102
1692625546839, 101.75
1692625546939, 102
1692625547039, 102.5
1692625547139, 102.5
1692625547239, 102.25
1692625547339, 102.5
1692625547439, 102.75
1692625547539, 102.75
1692625547639, 102.75
1692625547739, 102.75
1692625547839, 102.75
1692625547939, 102.75
1692625548039, 103
1692625548139, 102.75
1692625548239, 102.75
1692625548339, 103
1692625548439, 103
1692625548539, 102.75
1692625548639, 102.75
1692625548739, 102.75
1692625548839, 102.75
1692625548939, 102.5
1692625549039, 102.25
1692625549139, 102.5
1692625549239, 102.75
1692625549339, 102.5
1692625549439, 102.75
1692625549539, 102.5
1692625549639, 102.5
1692625549739, 102.75
1692625549839, 102.5
1692625549939, 102.25
1692625550039, 102.25
1692625550139, 102.5
1692625550239, 102.5
1692625550339, 102.5
1692625550439, 102.25
1692625550539, 102.5
1692625550639, 102.5
1692625550739, 102.25
1692625550839, 102.25
1692625550939, 102.5
1692625551039, 102.25
1692625551139, 102.25
1692625551239, 102.25
1692625551339, 102.25
1692625551439, 102.5
1692625551539, 102.5
1692625551639, 102.25
1692625551739, 102.5
1692625551839, 102.75
1692625551939, 102.75
1692625552039, 102.75
1692625552139, 102.75
1692625552239, 102.75
1692625552339, 102.75
1692625552439, 102.5
1692625552539, 102.75
